Age,CCI0,SxFict_FCCI0,EV_CCI0,CCI1,SxFict_FCCI1,EV_CCI1,CCI2,SxFict_FCCI2,EV_CCI2,CCI3,SxFict_FCCI3,EV_CCI3
36,0.000237003,99691.77536,57.76947645,0.001701029,98369.93181,47.86215097,0.015248306,82264.2643,26.22712246,0.168851258,6452.914617,4.951470295
37,0.000249252,99668.14808,56.78305273,0.001817322,98202.60174,46.94285262,0.015853267,81009.87359,25.62549197,0.17216408,5363.331867,4.855804646
38,0.000262639,99643.30554,55.79708491,0.00193875,98024.13603,46.02740788,0.016483901,79725.60245,25.03022951,0.175542102,4439.958768,4.761676309
39,0.000277248,99617.13534,54.81161189,0.00206535,97834.09178,45.11584558,0.01714151,78411.41353,24.44136042,0.178986609,3660.559074,4.669064811
40,0.000293179,99589.51674,53.82667383,0.002197139,97632.03017,44.20818362,0.017827476,77067.32348,23.85890891,0.182498913,3005.36802,4.577949829
41,0.000310554,99560.31914,52.8423127,0.002334114,97417.51898,43.30442805,0.018543262,75693.40764,23.28289794,0.186080352,2456.891624,4.488311199
42,0.000329515,99529.40024,51.85857288,0.002476245,97190.13536,42.40457223,0.019290425,74289.80494,22.71334916,0.189732292,1999.712365,4.400128913
43,0.000350209,99496.60381,50.87550188,0.002623474,96949.46877,41.50859581,0.020070586,72856.72305,22.15028274,0.193456124,1620.302354,4.313383127
44,0.000372708,99461.75924,49.89315,0.002775712,96695.12437,40.61646377,0.020885345,71394.44594,21.59371657,0.197253265,1306.844942,4.228054156
45,0.000397059,99424.68904,48.91156609,0.002932845,96426.72659,39.72812545,0.02173635,69903.34832,21.04366341,0.201125164,1049.06551,4.144122479
